serial,id,division,district,upazilaBangla,2019,2020
329,330,ঢাকা,নারায়ণগঞ্জ,নারায়নগঞ্জ সদর,3.0,0.0
330,331,ঢাকা,নারায়ণগঞ্জ,রূপগঞ্জ,27.0,0.0
331,332,ঢাকা,নারায়ণগঞ্জ,সোনারগাঁ,14.0,0.0
332,333,ঢাকা,টাঙ্গাইল,বাসাইল,8.0,0.0
333,334,ঢাকা,টাঙ্গাইল,ভুয়াপুর,7.0,0.0
334,335,ঢাকা,টাঙ্গাইল,দেলদুয়ার,23.0,0.0
335,336,ঢাকা,টাঙ্গাইল,ঘাটাইল,14.0,0.0
336,337,ঢাকা,টাঙ্গাইল,গোপালপুর,26.0,1.0
337,338,ঢাকা,টাঙ্গাইল,মধুপুর,17.0,0.0
338,339,ঢাকা,টাঙ্গাইল,মির্জাপুর,102.0,2.0
339,340,ঢাকা,টাঙ্গাইল,নাগরপুর,5.0,0.0
340,341,ঢাকা,টাঙ্গাইল,সখিপুর,12.0,0.0
341,342,ঢাকা,টাঙ্গাইল,টাঙ্গাইল সদর,85.0,0.0
342,343,ঢাকা,টাঙ্গাইল,কালিহাতী,9.0,0.0
343,344,ঢাকা,টাঙ্গাইল,ধনবাড়ী,2.0,0.0
344,345,ঢাকা,কিশোরগঞ্জ,ইটনা,75.0,0.0
345,346,ঢাকা,কিশোরগঞ্জ,কটিয়াদী,8.0,0.0
346,347,ঢাকা,কিশোরগঞ্জ,ভৈরব,60.0,0.0
347,348,ঢাকা,কিশোরগঞ্জ,তাড়াইল,13.0,0.0
348,349,ঢাকা,কিশোরগঞ্জ,হোসেনপুর,42.0,0.0
349,350,ঢাকা,কিশোরগঞ্জ,পাকুন্দিয়া,102.0,0.0
350,351,ঢাকা,কিশোরগঞ্জ,কুলিয়ারচর,8.0,0.0
351,352,ঢাকা,কিশোরগঞ্জ,কিশোরগঞ্জ সদর,183.0,0.0
